epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,361.456,1.15801,1.04367,1.46121,0.9769,0.53532,0.685,0.49505,1.44361,1.44265,1.80809,0.0005941,0.0005941,0.0005941
43,370.133,1.15,1.04453,1.43694,0.96988,0.53797,0.68131,0.51376,1.38202,1.41914,1.80594,0.0005842,0.0005842,0.0005842
44,378.877,1.19424,1.06125,1.48018,0.79691,0.6209,0.69086,0.50182,1.42258,1.43268,1.80892,0.0005743,0.0005743,0.0005743
45,387.421,1.1594,1.0144,1.47259,0.98507,0.53797,0.69355,0.49978,1.43555,1.46563,1.84302,0.0005644,0.0005644,0.0005644
46,396.092,1.17483,1.05853,1.46738,0.88549,0.57595,0.70446,0.49587,1.44148,1.42779,1.84586,0.0005545,0.0005545,0.0005545
47,404.634,1.13479,0.99204,1.44356,0.91826,0.56962,0.69756,0.51745,1.38379,1.39245,1.79009,0.0005446,0.0005446,0.0005446
48,413.238,1.17983,1.04884,1.4591,0.76727,0.63924,0.69746,0.51166,1.38694,1.40078,1.76979,0.0005347,0.0005347,0.0005347
49,421.75,1.16635,1.04286,1.48116,0.9944,0.53797,0.68083,0.50731,1.35311,1.46209,1.75071,0.0005248,0.0005248,0.0005248
50,430.232,1.11041,0.97619,1.43061,0.9917,0.53797,0.68516,0.50758,1.38643,1.40573,1.74585,0.0005149,0.0005149,0.0005149
51,438.749,1.13416,1.0033,1.44025,0.98516,0.53165,0.6881,0.50607,1.38065,1.40233,1.7404,0.000505,0.000505,0.000505
52,447.327,1.12417,1.00228,1.42404,0.85068,0.61392,0.70571,0.5065,1.38642,1.42958,1.7911,0.0004951,0.0004951,0.0004951
53,455.925,1.15474,1.01777,1.45371,0.87701,0.58673,0.70111,0.49661,1.4672,1.38784,1.88076,0.0004852,0.0004852,0.0004852
54,464.426,1.14145,1.01706,1.45019,0.9462,0.55662,0.69982,0.52269,1.3724,1.39653,1.80605,0.0004753,0.0004753,0.0004753
55,472.904,1.13435,1.01676,1.43765,0.984,0.5443,0.69608,0.5185,1.39026,1.41224,1.79571,0.0004654,0.0004654,0.0004654
56,481.384,1.10705,0.97791,1.43169,1,0.53755,0.69737,0.51528,1.3957,1.3895,1.82534,0.0004555,0.0004555,0.0004555
57,489.841,1.08706,0.93679,1.41846,0.98514,0.53797,0.68821,0.49881,1.43894,1.4826,1.84242,0.0004456,0.0004456,0.0004456
58,498.343,1.10454,0.9894,1.43981,0.84548,0.59494,0.7011,0.52427,1.39952,1.4111,1.84104,0.0004357,0.0004357,0.0004357
59,506.837,1.09965,0.95231,1.43136,0.82939,0.61538,0.69433,0.52383,1.39997,1.39232,1.78744,0.0004258,0.0004258,0.0004258
60,515.284,1.11663,0.95209,1.43929,0.77347,0.64834,0.70483,0.51934,1.42142,1.40165,1.82944,0.0004159,0.0004159,0.0004159
61,523.713,1.10127,0.94176,1.43258,1,0.53628,0.7109,0.51741,1.39106,1.38622,1.84023,0.000406,0.000406,0.000406
62,532.216,1.09856,0.94113,1.42367,0.99698,0.53165,0.69433,0.51261,1.40578,1.38914,1.80442,0.0003961,0.0003961,0.0003961
63,541.231,1.08347,0.90394,1.41044,0.81993,0.61392,0.70445,0.52309,1.40869,1.40446,1.84004,0.0003862,0.0003862,0.0003862
64,549.988,1.08922,0.90749,1.41971,0.98833,0.53624,0.68703,0.51863,1.38724,1.41879,1.80938,0.0003763,0.0003763,0.0003763
65,558.741,1.06925,0.908,1.41535,0.96821,0.53165,0.68973,0.5137,1.41675,1.38522,1.80902,0.0003664,0.0003664,0.0003664
66,567.254,1.1005,0.95431,1.42092,0.99214,0.52532,0.69843,0.51522,1.42764,1.38058,1.83609,0.0003565,0.0003565,0.0003565
67,575.721,1.07877,0.90682,1.41418,0.80823,0.61352,0.70098,0.51924,1.43046,1.39238,1.85609,0.0003466,0.0003466,0.0003466
68,584.261,1.06304,0.91604,1.40147,0.97666,0.52977,0.69734,0.52118,1.41759,1.42395,1.81734,0.0003367,0.0003367,0.0003367
69,592.725,1.04868,0.87722,1.39966,0.98123,0.53165,0.67691,0.5025,1.4514,1.42749,1.88857,0.0003268,0.0003268,0.0003268
70,601.199,1.05491,0.87355,1.39875,0.9829,0.53165,0.68746,0.49374,1.49836,1.46517,1.93591,0.0003169,0.0003169,0.0003169
71,609.65,1.05555,0.87843,1.38691,0.81554,0.61392,0.6945,0.5031,1.46928,1.44578,1.86753,0.000307,0.000307,0.000307
72,618.181,1.03834,0.87265,1.39196,0.81968,0.63291,0.70173,0.51216,1.4347,1.39835,1.8818,0.0002971,0.0002971,0.0002971
73,626.832,1.06072,0.86616,1.38656,0.84086,0.62658,0.70265,0.51955,1.48964,1.40903,1.87762,0.0002872,0.0002872,0.0002872
74,635.33,1.00668,0.83409,1.35857,0.77415,0.64557,0.70244,0.52604,1.458,1.45053,1.87713,0.0002773,0.0002773,0.0002773
75,643.92,1.03914,0.84976,1.37615,0.99326,0.52532,0.69425,0.50556,1.4936,1.44245,1.93623,0.0002674,0.0002674,0.0002674
